CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
,,,,,,10:30 ,10:45,10:55,11:25,11:40,11:58
,,,,,,11:15,,11:25,11:55,12:10,12:28
,,,,,,11:30 ,11:45,11:55,12:25,12:40,12:58
,,,,,12:10,12:15,,12:25,12:55,1:10,1:28
,,12:00,12:10,,,12:30 ,12:45,12:55,1:25,1:40,1:58
12:00,12:15,12:30,12:40,12:50,1:10,1:15,,1:25,1:55,2:10,2:28
12:30,12:45,1:00,1:10,,,1:30 ,1:45,1:55,2:25,2:40,2:58
1:00,1:15,1:30,1:40,1:50,2:10,2:15,,2:25,2:55,3:10,3:28
1:30,1:45,2:00,2:10,,,2:30 ,2:45,2:55,3:25,3:40,3:58
2:00,2:15,2:30,2:40,2:50,3:10,3:15,,3:25,3:55,4:10,4:28
2:30,2:45,3:00,3:10,,,3:30 ,3:45,3:55,4:25,4:40,4:58
3:00,3:15,3:30,3:40,3:50,4:10,4:15,,4:25,4:55,5:10,5:28
3:30,3:45,4:00,4:10,,,4:30 ,4:45,4:55,5:25,5:40,5:58
4:00,4:15,4:30,4:40,4:50,5:10,5:15,,5:25,5:58,,
4:30,4:45,5:00,5:10,,,5:30 ,5:45,5:55,6:25,6:40,6:58
5:00,5:15,5:30,5:40,5:50,5:55,6:00,,6:10,6:30,,
5:30,5:45,5:58,,,,,,,,,
6:00,6:15,6:30,6:40,,,6:55 ,7:00,7:10,7:30,7:45,7:58
7:00,7:15,7:30,7:40,7:50,7:55,8:00,,8:10,8:30,8:45,8:58
8:00,8:15,8:30,8:40,,,8:55 ,9:00,9:10,9:30,,
