CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
,,6:00,6:10,,,,,,,,
,,,,,,,,,,,
,,6:50,7:00,,,,,,,,
,7:05,7:20,7:30,7:40,7:50,,,,,,
7:25,7:40,7:55,8:05,,,,,,,,
,,8:30,8:40,8:50,8:55,,,,,,
8:30,8:45,9:00,9:10,,,,,,,,
,,,,,,,,,,,
9:00,9:15,9:30,9:40,9:50,10:10,,,,,,
9:30,9:45,10:00,10:10,,,,,,,,
10:00,10:15,10:30,10:40,10:50,11:10,,,,,,
10:30,10:45,11:00,11:10,,,,,,,,
11:00,11:15,11:30,11:40,11:50,12:10,,,,,,
11:30,11:45,12:00,12:10,,,,,,,,
