CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
12:30,12:00,12:15,12:25 ,,,12:40,12:10,12:20,12:00,12:10,12:28
1:15,12:45,1:00,1:10 ,,,1:25,12:55,1:05,12:45,12:55,1:13
2:00,1:30,1:45,1:55 ,,,2:10,1:40,1:50,1:30,1:40,1:58
2:45,2:15,2:30,2:40 ,,,2:55,2:25,2:35,2:15,2:25,2:43
3:30,3:00,3:15,3:25 ,,,3:40,3:10,3:20,3:00,3:10,3:28
4:15,3:45,4:00,4:10 ,,,4:25,3:55,4:05,3:45,3:55,4:13
5:00,4:30,4:45,4:55 ,,,5:10,4:40,4:50,4:30,4:40,4:58
5:45,5:15,5:30,5:40 ,,,5:55,5:25,5:35,5:15,5:25,5:43
6:30,6:00,6:15,6:25 ,,,6:40,6:10,6:20,6:00,6:10,6:28
7:15,6:45,7:00,7:10 ,,,7:20,6:55,7:05,6:45,6:55,7:13
,7:30,7:45,7:55,,,,7:25,7:35,7:30,7:40,7:58
,,,,,,,,7:55,8:05,,
,,,,,,,,,8:20,,
