CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
6:30,6:25,6:00,6:10,6:50,6:55,6:30 ,5:35,5:45,6:10,6:00,6:18
6:45,6:40,6:15,6:25,7:45,7:55,7:00,6:35,6:45,6:25,6:25,6:43
7:05,7:00,6:25,6:35,8:25,8:35,7:15 ,7:20,6:30,7:15,6:45,7:03
7:25,7:20,6:45,6:55,8:45,8:55,7:35 ,7:40,7:10,6:55,7:35,7:58
7:45,7:40,7:00,7:15,9:25,9:35,8:00,8:20,7:30,7:40,7:15,7:38
8:05,8:00,7:20,7:35,10:05,10:15,8:15 ,9:20,7:50,8:00,8:00,8:23
8:25,8:20,7:40,7:55,10:45,10:55,8:40,10:00,8:10,8:20,8:20,8:43
8:45,8:40,8:00,8:15,11:25,11:35,9:00,10:40,8:30,8:40,8:35,9:18
9:25,9:00,8:20,8:35,,,9:15 ,11:20,8:50,9:00,8:55,9:58
10:05,9:20,8:40,8:55,,,9:40,,9:10,9:20,9:15,10:38
10:45,9:40,9:00,9:15,,,9:55 ,,9:30,9:40,9:35,10:58
11:05,10:00,9:20,9:35,,,10:20,,9:50,10:00,9:55,11:18
11:25,10:20,9:40,9:55,,,10:35 ,,10:10,10:20,10:15,11:38
11:45,10:40,10:00,10:15,,,11:00,,10:30,10:40,10:35,
,11:00,10:20,10:35,,,11:15 ,,10:50,11:00,10:55,
,11:20,10:40,10:55,,,11:40,,11:10,11:20,11:15,
,11:40,11:00,11:15,,,11:55 ,,11:30,11:40,11:35,
,,11:20,11:35,,,,,11:50,,11:55,
,,11:40,11:55,,,,,,,,
