facility_name,street,city_state_zip,treatment_type,latitude,longitude
Carlson Recovery Center-BHN,471 Chestnut Street,"Springfield, MA  01107",Acute Treatment Services-Adults,42.1146392,-72.5976206
Franklin Recovery Center-BHN,298 Federal St.,"Greenfield, MA 01301",Acute Treatment Services-Adults,42.6010729,-72.5940028
McGee Unit of Berkshire Medical Center,725 North Street,"Pittsfield, MA 01201",Acute Treatment Services-Adults,42.4595693,-73.24931
Providence Detox,1233 Main Street,"Holyoke, MA 01040",Acute Treatment Services-Adults,42.1661231,-72.633596
Swift River ATS and CSS,151 South St.,"Cummington, MA 01026",Acute Treatment Services-Adults,42.4831653,-72.8845052
Adcare ATS,107 Lincoln Street,"Worcester, MA 01605",Acute Treatment Services-Adults,42.2763579,-71.7949143
"Motivating Youth Recovery Community Healthlink, Inc.","12 Queen Street, 5th ï¬‚oor","Worcester, MA 01610",Acute Treatment and Stabilization Services â€“Youth,42.2597825,-71.8138
The Hope Center-Behavioral Health Network,35 Heywood Street,"Springfield, MA 01104",Clinical Support Service,42.113297,-72.584725
Northern Hope Center-Behavioral Health Network,298 Federal St.,"Greenfield, MA 01301",Clinical Support Service,42.6010729,-72.5940028
Berkshire Medical Center-CSS,725 North Street,"Pittsfield, MA 01201",Clinical Support Service,42.4595693,-73.24931
Providence CSS,1233 Main Street,"Holyoke, MA 01040",Clinical Support Service,42.1661231,-72.633596
Phoenix TSS for Men,130 Pine Street,"Holyoke, MA 01040",Transitional Support Service ,42.2089174,-72.6122756
Gandara Esperanza Women’s TSS,91 East Mountain Road,"Westfield, MA 01085",Transitional Support Service ,42.110955,-72.7017225
AdCare Outpatient Services,117 Park Ave.,"West Springfield, MA 01089",Outpatient Services,42.1052846,-72.6186937
ALC,57 Maplewood Ave.,"Pittsfield, MA 01201",Outpatient Services,42.4548043,-73.2490885
Mt. Tom Substance Abuse Services Behavioral Health Network,40 Bobala Road,"Holyoke, MA  01040",Outpatient Services,42.1665547,-72.6490714
Mt. Tom City Clinic Behavioral Health Network,235 Maple Street,"Holyoke, MA 01040",Outpatient Services,42.2072615,-72.6089582
School St. Counseling Institute Behavioral Health Network,110 Maple St.,"Springfield, MA 01105",Outpatient Services,42.1009311,-72.5813397
Child Guidance Clinic Behavioral Health Network,110 Maple St.,"Springfield, MA 01105",Outpatient Services,42.1009311,-72.5813397
Sloan Clinic Behavioral Health Network,471 Chestnut St.,"Springfield, MA 01107",Outpatient Services,42.1146392,-72.5976206
Carlson Day Treatment Program Behavioral Health Network,417 Liberty Street,"Springfield, MA 01107",Outpatient Services,42.1142723,-72.5850824
Driver Alcohol Education Behavioral Health Network,471 Chestnut St.,"Springfield, MA 01107",Outpatient Services,42.1146392,-72.5976206
BHN-Carson Center,"77 Mill Street, Suite 251","Westfield, MA  01085",Outpatient Services,42.1116968,-72.7656093
BHN-Carson Center,96 South St.,"Ware, MA",Outpatient Services,42.2521402,-72.2417225
Best Life Center Mental Health Association,153 Magazine St.,"Springfield, MA 01109",Outpatient Services,42.1128377,-72.5776393
Brien Center for Mental Health & Substance Abuse Services,333 East Street,"Pittsfield, MA  01201",Outpatient Services,42.4480832,-73.2470947
Brien Center for Mental Health & Substance Abuse Services,124 American Legion Drive,"North Adams, MA 01247",Outpatient Services,42.6959091,-73.111817
Brien Center for Mental Health & Substance Abuse Services,60 Cottage Street,"Great Barrington, MA 01230",Outpatient Services,42.1975144,-73.3582282
Patrick Miller Youth Progam of the Brien Center,251 Fenn Street,"Pittsfield, MA 01201",Outpatient Services,42.4499413,-73.2482421
Center for Human Development Child and Family Services,367 Pine Street,"Springfield, MA  01105",Outpatient Services,42.0940175,-72.5741655
Center for Human Development Child and Family Services,131 West Main St. 1st Floor,"Orange, MA 01364",Outpatient Services,42.5916352,-72.3156192
Center for Human Development Child and Family Services,102 Main St.,"Greenfield, MA 01301",Outpatient Services,42.587965,-72.605304
Center for Human Development,"1221 Main St, Suite 308","Holyoke, MA 01040",Outpatient Services,42.1668132,-72.6336909
Clinical and Support Options-Athol,491 Main Street,"Athol, MA 01331",Outpatient Services,42.5938164,-72.2300407
Clinical and Support Options,8 Atwood Drive,"Northampton, MA  01060",Outpatient Services,42.3030938,-72.6227859
Clinical and Support Options-Greenfield,One Arch Place,"Greenfield, MA 01301",Outpatient Services,42.5914816,-72.6040777
Crossroads Agency,80 Congress St. Suite 106,"Springfield, MA 01104",Outpatient Services,42.1086673,-72.596064
Gandara Center,85 St George Road,"Springfield, MA  01104",Outpatient Services,42.1085034,-72.6022268
Gandara Center,2155 Main St.,"Springfield, MA 01104",Outpatient Services,42.1095206,-72.6004714
Baystate Wing Hospital Griswold Center,40 Wright Street,"Palmer, MA  01069",Outpatient Services,42.1696245,-72.3411026
Holyoke Medical Center Center for Behavioral Health,575 Beech Street,"Holyoke, MA  01040",Outpatient Services,42.2003761,-72.6275517
