facility_name,street,city_state_zip,treatment_type
Carlson Recovery Center-BHN,471 Chestnut Street,"Springfield, MA  01107",Acute Treatment Services-Adults
Franklin Recovery Center-BHN,298 Federal St.,"Greenfield, MA 01301",Acute Treatment Services-Adults
McGee Unit of Berkshire Medical Center,725 North Street,"Pittsfield, MA 01201",Acute Treatment Services-Adults
Providence Detox,1233 Main Street,"Holyoke, MA 01040",Acute Treatment Services-Adults
Swift River ATS and CSS,151 South St.,"Cummington, MA 01026",Acute Treatment Services-Adults
Adcare ATS,107 Lincoln Street,"Worcester, MA 01605",Acute Treatment Services-Adults
"Motivating Youth Recovery Community Healthlink, Inc.","12 Queen Street, 5th ﬂoor","Worcester, MA 01610",Acute Treatment and Stabilization Services –Youth
The Hope Center-Behavioral Health Network,35 Heywood Street,"Springfield, MA 01104",Clinical Support Service
Northern Hope Center-Behavioral Health Network,298 Federal St.,"Greenfield, MA 01301",Clinical Support Service
Berkshire Medical Center-CSS,725 North Street,"Pittsfield, MA 01201",Clinical Support Service
Providence CSS,1233 Main Street,"Holyoke, MA 01040",Clinical Support Service
Phoenix TSS for Men,130 Pine Street,"Holyoke, MA 01040",Transitional Support Service
Gandara Esperanza Women’s TSS,91 East Mountain Road,"Westfield, MA 01085",Transitional Support Service
AdCare Outpatient Services,117 Park Ave.,"West Springfield, MA 01089",Outpatient Services
ALC,57 Maplewood Ave.,"Pittsfield, MA 01201",Outpatient Services
Mt. Tom Substance Abuse Services Behavioral Health Network,40 Bobala Road,"Holyoke, MA  01040",Outpatient Services
Mt. Tom City Clinic Behavioral Health Network,235 Maple Street,"Holyoke, MA 01040",Outpatient Services
School St. Counseling Institute Behavioral Health Network,110 Maple St.,"Springfield, MA 01105",Outpatient Services
Child Guidance Clinic Behavioral Health Network,110 Maple St.,"Springfield, MA 01105",Outpatient Services
Sloan Clinic Behavioral Health Network,471 Chestnut St.,"Springfield, MA 01107",Outpatient Services
Carlson Day Treatment Program Behavioral Health Network,417 Liberty Street,"Springfield, MA 01107",Outpatient Services
