centroid_town,centroid_x,centroid_y,centroid_lat,centroid_lon
Lowell,214622.5042691681,932048.1772893125,42.638872289057325,-71.32171222088728
Beverly,252382.19914967456,924443.23233929,42.5687850330709,-70.86202418393533
Gloucester,266444.41870487155,930811.7607797488,42.62503947891492,-70.69002959253923
Chester,81245.76500630938,894406.4145432129,42.291113381557544,-72.94005053200357
Winchester,229094.33926291222,911311.426065282,42.451787161769474,-71.14631143880705
Millville,193568.8259202856,865404.448504676,42.03900447081262,-71.57767350352573
Bridgewater,243522.58304400565,858184.8851093814,41.97282460626004,-70.9748925416693
Tolland,74142.37820898391,872382.457779565,42.09174968189629,-73.021407432032
Canton,230865.73844366815,880585.2074352185,42.175097703248746,-71.12641348933148
Mashpee,284104.2972861161,819416.2967710268,41.6204994973682,-70.49083586510802
Lynnfield,237941.0617991099,920667.3177908008,42.535631780696654,-71.03815129477897
Barnstable,294812.7952476759,825291.4498481288,41.672178570066556,-70.36141844827661
Dover,217811.84772752805,887372.7887780162,42.23661240364011,-71.28420377623908
Mendon,195742.26304349277,871401.7482388027,42.09301448962101,-71.55146719308853
Hudson,196172.65809811422,904242.626436784,42.38868285565863,-71.5464809401346
Westwood,223891.13560527214,885573.8687297489,42.220254677359556,-71.21062569489543
Holland,144880.53971927255,867967.2867672076,42.06016752305609,-72.16594216145343
Cambridge,231419.74382973852,902886.5672604514,42.37585142373851,-71.11850083936895
Fitchburg,174095.95274841232,926789.1199422354,42.59123546577125,-71.81560198755598
Leominster,177676.78884454892,918961.7093043227,42.52088188432783,-71.7716714447888
Lunenburg,181950.8103150739,926591.5146142786,42.589678549370504,-71.71989663157159
Hopedale,197105.42973708286,874927.1802957309,42.12476088104427,-71.53500683236162
Topsfield,245718.76794988225,932003.1841191937,42.63725999530106,-70.9425755768018
Boxford,239428.335083082,936879.4228877858,42.68150008215318,-71.01893438620323
Walpole,220212.4506193068,877362.688498074,42.14643266001283,-71.2554675357772
Berlin,188840.1698269838,903705.8823907732,42.38378026967435,-71.63551947749664
Sharon,226216.86838552362,873174.1447848759,42.10854472548969,-71.18301433479154
Lynn,243897.9678584505,914328.900032169,42.478258403951784,-70.96612379746202
Norwood,225208.81722711117,881778.3030385586,42.1860418178208,-71.19483027819304
Wales,139308.82387202868,868249.9510332645,42.06230089140353,-72.23328469870283
Somerville,232788.79289714334,904530.7999002767,42.39059752621544,-71.1017848493521
Leyden,107697.23172082713,938962.9056773313,42.695769639222775,-72.6264694287072
Huntington,88251.68899170164,893543.279940626,42.28437705089278,-72.85494302417958
Dudley,163977.31860091246,867269.7203064428,42.054997046241304,-71.93518081171592
Brookline,229607.06301986167,897148.055376817,42.32426007984113,-71.14080359857222
Lenox,53732.360729145184,903871.0370552527,42.37163746650403,-73.27598868771112
Pittsfield,55189.962610845934,912736.866533435,42.45170850661603,-73.26051703691235
Everett,236741.108546037,906407.0029571606,42.407312064449336,-71.05366614212888
Tyngsborough,205815.1130617024,935062.495421418,42.66612321586771,-71.42906743173012
Malden,236406.39956804097,908981.9344144374,42.430508678864484,-71.05756988949348
Stoneham,233125.47151068773,913805.777634096,42.4740815565667,-71.09716400904954
Northampton,103194.5899724915,898016.0878558549,42.32663551311253,-72.67453244477944
Braintree,241080.13645048317,883801.715330898,42.203586286385594,-71.0025579259297
Scituate,261040.6481661483,883443.3229430288,42.1990571461347,-70.76090250154354
Nahant,247227.33343659423,908869.8723322442,42.42891945729565,-70.92608076988924
Wenham,250664.34437396075,927987.1266288213,42.60080102867992,-70.88263322332888
Bellingham,202144.82326417163,869705.452712465,42.07775097903993,-71.474079771976
Sturbridge,151167.30347292247,873186.4408671667,42.10757236561344,-72.09042581187784
Belmont,226387.1931682221,905102.3765444726,42.39598602629522,-71.17950444931576
West Bridgewater,239199.9537052388,863553.8132734719,42.02138979742431,-71.02668523057939
Carlisle,212219.33721183625,919950.8555537614,42.53001071830062,-71.35127043763376
Saugus,239837.04540559452,913273.2132680805,42.46897293774035,-71.01558352832885
Lexington,222154.6155607919,910602.333033756,42.44563168199105,-71.23070152665994
Lanesborough,57108.07408034225,921588.6519628577,42.531734118685065,-73.23939847447005
Plainfield,82980.88532711587,919581.9016749624,42.5179906533543,-72.92411045989938
Gosnold,258673.53727616233,801838.9010049814,41.46454599496217,-70.79769826131329
Peru,73280.41796138011,909897.1536369316,42.429299202938594,-73.04001167025778
Sherborn,210291.59094407843,887086.0955855139,42.23416643550413,-71.37531898888628
Middleborough,251928.53914112912,847966.7639453294,41.88031837899436,-70.87438081008658
Fall River,228862.0407003804,826211.9996000007,41.685636282795365,-71.15333984673248
Holliston,204543.21599794287,883034.4172192133,42.19774352804763,-71.4449912747391
Greenfield,109866.25601616097,929852.7669540186,42.614021184305315,-72.59856959823198
Grafton,184826.13096791165,884247.8350042921,42.2085340436896,-71.68375481492504
Blackstone,197412.48358787943,865503.3870167654,42.03991733851472,-71.5312515762906
Medford,232161.06493309344,908228.9748315007,42.42391680903517,-71.10920262873827
Pembroke,257815.24487473883,868578.958233768,42.06548025087836,-70.80142881389992
