"","City/Town Name","2015","2016","2017","2018","2019"
"1","Abington","6","3","4","11","4"
"2","Acton","4","7","1","4","0"
"3","Acushnet","4","4","7","2","1"
"4","Adams","3","1","0","7","2"
"5","Agawam","5","4","7","12","13"
"6","Amesbury","7","8","10","9","7"
"7","Amherst","1","2","3","2","3"
"8","Andover","6","3","2","2","5"
"9","Aquinnah","1","0","0","0","0"
"10","Arlington","6","6","3","3","4"
"11","Ashburnham","1","2","0","1","2"
"12","Ashby","0","0","0","0","1"
"13","Ashfield","1","0","0","1","0"
"14","Ashland","4","4","4","2","3"
"15","Athol","3","3","6","6","7"
"16","Attleboro","10","18","26","11","22"
"17","Auburn","4","2","3","6","4"
"18","Avon","3","3","2","2","1"
"19","Ayer","1","7","1","2","4"
"20","Barnstable","13","21","13","18","17"
"21","Barre","3","0","0","3","3"
"22","Becket","0","0","0","2","0"
"23","Bedford","1","6","3","3","4"
"24","Belchertown","2","2","5","7","3"
"25","Bellingham","3","5","4","8","4"
"26","Belmont","4","4","4","2","3"
"27","Berkley","0","5","3","1","2"
"28","Berlin","1","0","0","0","1"
"29","Bernardston","0","1","0","0","0"
"30","Beverly","14","18","12","7","17"
"31","Billerica","14","16","14","13","11"
"32","Blackstone","3","7","1","3","0"
"33","Bolton","2","1","0","1","0"
"34","Boston","155","195","200","182","165"
"35","Bourne","8","9","12","3","6"
"36","Boxborough","0","1","1","0","1"
"37","Boxford","2","1","1","0","1"
"38","Boylston","2","0","1","1","1"
"39","Braintree","10","9","16","10","12"
"40","Brewster","0","3","0","2","3"
"41","Bridgewater","13","10","7","5","1"
"42","Brimfield","0","1","1","2","2"
"43","Brockton","52","43","49","35","50"
"44","Brookfield","0","1","2","2","1"
"45","Brookline","3","2","6","3","4"
"46","Buckland","1","0","0","0","0"
"47","Burlington","3","8","8","3","4"
"48","Cambridge","13","27","12","11","14"
"49","Canton","6","6","9","4","0"
"50","Carlisle","0","0","0","1","2"
"51","Carver","7","8","6","1","5"
"52","Charlemont","0","0","0","0","1"
"53","Charlton","1","4","6","1","2"
"54","Chatham","2","1","0","1","0"
"55","Chelmsford","5","6","6","3","3"
"56","Chelsea","18","14","14","10","11"
"57","Cheshire","0","1","1","3","0"
"58","Chester","0","0","1","1","1"
"59","Chicopee","18","26","19","31","31"
"60","Clarksburg","0","0","1","0","1"
"61","Clinton","6","7","2","5","5"
"62","Cohasset","0","2","1","2","0"
"63","Concord","0","1","1","2","0"
"64","Cummington","0","0","0","0","1"
"65","Dalton","0","1","0","0","0"
"66","Danvers","7","4","9","8","5"
"67","Dartmouth","2","9","6","4","10"
"68","Dedham","5","11","3","5","3"
"69","Deerfield","1","0","0","1","0"
"70","Dennis","2","6","5","14","6"
"71","Dighton","0","3","1","2","0"
"72","Douglas","2","2","2","2","2"
"73","Dover","0","0","1","0","1"
"74","Dracut","8","6","5","10","11"
"75","Dudley","0","1","3","5","0"
"76","Dunstable","0","0","1","1","1"
"77","Duxbury","1","3","1","0","2"
"78","East Bridgewater","2","1","4","6","2"
"79","East Brookfield","0","0","0","0","1"
"80","East Longmeadow","4","2","0","1","3"
"81","Eastham","2","0","1","0","2"
"82","Easthampton","1","5","4","6","3"
"83","Easton","7","8","7","5","2"
"84","Edgartown","0","0","0","1","0"
"85","Erving","0","0","0","0","1"
"86","Essex","1","0","0","1","0"
"87","Everett","17","23","18","15","15"
"88","Fairhaven","7","4","8","4","9"
"89","Fall River","40","64","55","55","65"
"90","Falmouth","14","16","20","11","13"
"91","Fitchburg","19","23","24","15","20"
"92","Foxborough","0","7","2","4","4"
"93","Framingham","12","18","8","20","20"
"94","Franklin","7","7","2","7","5"
"95","Freetown","3","3","6","4","4"
"96","Gardner","6","8","8","12","6"
"97","Georgetown","2","1","3","2","1"
"98","Gill","0","0","0","0","1"
"99","Gloucester","12","9","16","17","14"
"100","Grafton","2","1","0","3","6"
"101","Granby","2","1","0","1","3"
"102","Great Barrington","0","1","0","2","1"
"103","Greenfield","8","7","4","11","7"
"104","Groton","1","0","1","0","2"
"105","Groveland","0","1","1","0","2"
"106","Hadley","0","2","1","2","0"
"107","Halifax","1","2","0","3","2"
"108","Hamilton","0","3","0","1","3"
"109","Hampden","0","1","0","4","1"
"110","Hancock","0","1","0","0","0"
"111","Hanover","1","6","1","2","1"
"112","Hanson","8","2","1","3","5"
"113","Hardwick","2","2","0","1","1"
"114","Harvard","0","0","0","1","0"
"115","Harwich","4","3","1","2","3"
"116","Hatfield","1","1","1","1","0"
"117","Haverhill","30","38","28","25","22"
"118","Hingham","0","1","1","2","2"
"119","Hinsdale","1","2","0","0","1"
"120","Holbrook","4","7","4","8","4"
"121","Holden","4","5","1","3","1"
"122","Holland","1","0","0","0","0"
"123","Holliston","5","1","3","1","1"
"124","Holyoke","6","11","13","14","16"
"125","Hopedale","0","1","2","1","0"
"126","Hopkinton","4","0","3","3","1"
"127","Hubbardston","2","1","1","2","1"
"128","Hudson","6","3","4","6","7"
"129","Hull","4","5","7","5","10"
"130","Huntington","0","0","0","1","0"
"131","Ipswich","3","3","3","5","5"
"132","Kingston","2","1","7","2","8"
"133","Lakeville","0","1","4","2","2"
"134","Lancaster","2","1","2","0","5"
"135","Lanesborough","1","1","2","0","1"
"136","Lawrence","30","45","40","50","54"
"137","Lee","1","1","3","2","0"
"138","Leicester","2","2","4","6","3"
"139","Lenox","0","0","2","0","0"
"140","Leominster","7","13","16","12","15"
"141","Leverett","0","0","1","0","0"
"142","Lexington","3","2","0","3","1"
"143","Lincoln","0","1","0","0","0"
"144","Littleton","0","2","1","1","3"
"145","Longmeadow","0","3","0","2","3"
"146","Lowell","65","68","53","65","42"
"147","Ludlow","4","6","4","7","10"
"148","Lunenburg","2","1","2","3","3"
"149","Lynn","48","46","63","51","55"
"150","Lynnfield","2","1","2","5","4"
"151","Malden","21","15","16","19","13"
"152","Manchester","0","2","0","0","1"
"153","Mansfield","3","8","8","3","4"
"154","Marblehead","0","4","5","3","0"
"155","Marion","1","1","1","1","1"
"156","Marlborough","8","4","4","14","8"
"157","Marshfield","2","9","12","8","6"
"158","Mashpee","11","8","1","1","6"
"159","Mattapoisett","2","2","1","5","2"
"160","Maynard","3","0","2","1","2"
"161","Medfield","0","1","0","2","0"
"162","Medford","21","18","18","8","10"
"163","Medway","1","3","0","3","0"
"164","Melrose","2","10","11","8","3"
"165","Mendon","1","0","0","2","2"
"166","Merrimac","2","1","1","1","2"
"167","Methuen","7","14","20","18","15"
"168","Middleborough","12","11","7","6","12"
"169","Middleton","4","2","3","2","2"
"170","Milford","3","12","6","6","4"
"171","Millbury","4","4","7","7","8"
"172","Millis","1","4","1","2","1"
"173","Millville","1","0","0","0","0"
"174","Milton","2","6","1","7","2"
"175","Monson","0","3","1","2","3"
"176","Montague","1","3","2","2","2"
"177","Montgomery","0","1","0","0","0"
"178","Nahant","1","2","0","0","2"
"179","Nantucket","1","2","3","1","2"
"180","Natick","5","3","7","4","5"
"181","Needham","1","1","1","2","1"
"182","New Ashford","1","0","0","0","0"
"183","New Bedford","54","57","45","54","75"
"184","New Marlborough","0","0","1","1","0"
"185","New Salem","1","0","0","0","0"
"186","Newbury","2","1","1","2","0"
"187","Newburyport","2","4","5","4","3"
"188","Newton","7","16","9","4","7"
"189","Norfolk","2","3","0","2","0"
"190","North Adams","6","6","5","2","10"
"191","North Andover","4","3","4","1","4"
"192","North Attleboro","8","8","9","5","4"
"193","North Brookfield","0","3","1","0","1"
"194","North Reading","1","2","6","5","2"
"195","Northampton","4","8","7","9","13"
"196","Northborough","0","3","2","1","1"
"197","Northbridge","4","2","4","6","4"
"198","Northfield","1","0","0","1","1"
"199","Norton","1","7","5","4","7"
"200","Norwell","3","1","3","1","2"
"201","Norwood","7","6","8","6","5"
"202","Oak Bluffs","3","1","1","0","1"
"203","Oakham","0","0","0","1","0"
"204","Orange","3","1","1","4","1"
"205","Orleans","0","2","0","5","1"
"206","Otis","0","1","0","0","0"
"207","Oxford","4","7","4","1","8"
"208","Palmer","1","4","3","8","8"
"209","Paxton","1","0","0","1","1"
"210","Peabody","11","11","23","13","17"
"211","Pembroke","4","8","7","0","3"
"212","Pepperell","3","1","2","2","4"
"213","Peru","0","0","1","0","0"
"214","Petersham","0","0","0","0","1"
"215","Pittsfield","17","18","13","19","21"
"216","Plainfield","0","0","0","0","1"
"217","Plainville","0","3","5","0","2"
"218","Plymouth","20","25","24","20","20"
"219","Plympton","1","2","0","0","1"
"220","Princeton","1","1","0","1","0"
"221","Provincetown","0","0","0","0","2"
"222","Quincy","47","46","40","39","43"
"223","Randolph","12","11","6","10","6"
"224","Raynham","4","2","4","3","2"
"225","Reading","3","4","6","5","3"
"226","Rehoboth","2","0","2","3","4"
"227","Revere","19","26","24","15","25"
"228","Rochester","0","0","2","1","1"
"229","Rockland","11","22","16","9","5"
"230","Rockport","3","1","2","2","1"
"231","Rowley","0","0","3","1","1"
"232","Royalston","0","1","0","0","0"
"233","Russell","0","0","0","1","0"
"234","Rutland","0","2","1","1","3"
"235","Salem","16","18","21","20","15"
"236","Salisbury","6","12","9","5","4"
"237","Sandwich","2","4","3","6","4"
"238","Saugus","9","13","8","11","5"
"239","Scituate","4","3","3","1","4"
"240","Seekonk","3","4","2","2","4"
"241","Sharon","1","1","2","0","2"
"242","Sheffield","0","0","0","0","1"
"243","Shelburne","0","1","0","0","1"
"244","Sherborn","1","1","1","1","0"
"245","Shirley","0","0","3","0","2"
"246","Shrewsbury","2","7","8","7","5"
"247","Somerset","4","5","5","5","2"
"248","Somerville","18","21","16","7","18"
"249","South Hadley","2","4","3","3","5"
"250","Southampton","1","2","1","0","0"
"251","Southborough","0","1","0","1","2"
"252","Southbridge","7","12","5","5","14"
"253","Southwick","1","2","3","4","1"
"254","Spencer","10","3","5","4","5"
"255","Springfield","43","40","38","80","70"
"256","Sterling","0","2","1","2","2"
"257","Stockbridge","0","0","1","1","0"
"258","Stoneham","7","8","6","6","4"
"259","Stoughton","14","11","7","15","6"
"260","Stow","1","1","1","0","1"
"261","Sturbridge","1","2","5","1","1"
"262","Sudbury","0","0","0","3","3"
"263","Sunderland","0","1","1","1","0"
"264","Sutton","1","0","0","2","2"
"265","Swampscott","2","4","2","4","3"
"266","Swansea","0","1","5","7","6"
"267","Taunton","16","29","29","35","27"
"268","Templeton","2","5","2","4","1"
"269","Tewksbury","9","13","11","7","6"
"270","Tisbury","3","1","1","3","2"
"271","Tolland","0","0","0","1","0"
"272","Topsfield","0","1","1","0","1"
"273","Townsend","1","2","4","2","2"
"274","Truro","0","1","0","0","0"
"275","Tyngsborough","5","1","3","5","2"
"276","Tyringham","1","0","0","0","0"
"277","Upton","0","2","1","2","2"
"278","Uxbridge","4","0","1","3","1"
"279","Wakefield","8","10","8","10","3"
"280","Wales","0","0","1","2","1"
"281","Walpole","4","7","4","10","5"
"282","Waltham","11","16","15","7","14"
"283","Ware","2","9","2","4","5"
"284","Wareham","7","15","17","15","13"
"285","Warren","2","0","1","1","2"
"286","Warwick","1","0","0","0","0"
"287","Watertown","11","9","8","3","7"
"288","Wayland","1","2","2","2","1"
"289","Webster","8","5","10","9","11"
"290","Wellesley","2","1","1","1","0"
"291","Wellfleet","0","0","2","0","1"
"292","Wenham","1","0","1","2","0"
"293","West Boylston","0","1","3","4","2"
"294","West Bridgewater","0","3","3","2","0"
"295","West Brookfield","0","1","0","0","1"
"296","West Springfield","6","9","11","14","10"
"297","West Stockbridge","1","0","0","0","1"
"298","West Tisbury","0","1","0","0","0"
"299","Westborough","3","4","3","6","1"
"300","Westfield","7","15","10","18","19"
"301","Westford","0","3","7","2","0"
"302","Westminster","0","0","2","4","2"
"303","Weston","0","0","2","0","0"
"304","Westport","2","4","6","8","8"
"305","Westwood","1","5","0","0","0"
"306","Weymouth","25","40","33","16","15"
"307","Whately","0","0","0","1","1"
"308","Whitman","8","1","10","4","6"
"309","Wilbraham","2","1","0","1","0"
"310","Williamsburg","0","0","1","1","1"
"311","Williamstown","0","1","0","1","0"
"312","Wilmington","8","5","6","6","5"
"313","Winchendon","2","1","3","5","5"
"314","Winchester","1","2","1","2","1"
"315","Winthrop","7","4","11","7","5"
"316","Woburn","7","17","16","14","13"
"317","Worcester","84","74","83","98","78"
"318","Wrentham","2","5","5","1","0"
"319","Yarmouth","9","7","8","7","8"
"320","Unknown","1","0","0","0","2"
"321","Total","1,738","2,102","1,989","2,002","1,952"
