"","RouteId","Color","GoogleDescription","IncludeInGoogle","IsHeadway","IsVisible","LongName","RouteAbbreviation","RouteRecordId","ShortName","SortOrder","BlockFareboxId","Destination","Deviation","Direction","DirectionLong","Heading","LastStop","LastUpdated","Latitude","Longitude","Name","TripId","VehicleId"
"1","10001","00A94E","Chicopee / Sumner-Allen-Canon Circle","true","false","true","Chicopee / Sumner-Allen-Canon Circle","G1","1399","G1","1","103","Canon Circle via Union Station","0","S","Southbound","180","Front/Springfield","2020-10-15T19:51:35","42.148437","-72.608859","1818","1940","1818"
"2","10001","00A94E","Chicopee / Sumner-Allen-Canon Circle","true","false","true","Chicopee / Sumner-Allen-Canon Circle","G1","1399","G1","1","110","Chicopee Big Y via N. Main St.","2","N","Northbound","342","Main / Jefferson","2020-10-15T19:51:46","42.115271","-72.606308","1672","1945","1672"
"3","10001","00A94E","Chicopee / Sumner-Allen-Canon Circle","true","false","true","Chicopee / Sumner-Allen-Canon Circle","G1","1399","G1","1","106","Sumner/Allen to Riverbend and Canon Circle","4","S","Southbound","74","Sumner / Castle","2020-10-15T19:52:16","42.089444","-72.540768","1801","1935","1801"
"4","10001","00A94E","Chicopee / Sumner-Allen-Canon Circle","true","false","true","Chicopee / Sumner-Allen-Canon Circle","G1","1399","G1","1","105","Chicopee Big Y via Union Station","0","N","Northbound","254","Sumner/Perkins","2020-10-15T19:52:32","42.088751","-72.545044","1670","1940","1670"
"5","10002","00A94E","Carew-East Springfield / Belmont-Dwight Rd","true","false","true","Carew-East Springfield / Belmont-Dwight ","G2","1400","G2","2","208","Carew/E Springfield","-2","N","Northbound","4","Union Station Bay 5","2020-10-15T19:50:26","42.106316","-72.594501","1812","1950","1812"
"6","10002","00A94E","Carew-East Springfield / Belmont-Dwight Rd","true","false","true","Carew-East Springfield / Belmont-Dwight ","G2","1400","G2","2","209","E Longmeadow Big Y via Union Station","0","S","Southbound","250","Memorial Industrial Park","2020-10-15T19:51:17","42.137844","-72.545378","1815","1950","1815"
"7","10002","00A94E","Carew-East Springfield / Belmont-Dwight Rd","true","false","true","Carew-East Springfield / Belmont-Dwight ","G2","1400","G2","2","206","E Springfield/Mercy Hospital via Union Station","2","N","Northbound","284","Belmont/Commonwealth(opposite)","2020-10-15T19:51:24","42.085918","-72.556335","1652","1943","1652"
"8","10005","00A94E","Dickinson-Jewish Home/Longmeadow","true","false","true","Dickinson-Jewish Home/Longmeadow","G5","1402","G5","6","504","Union Station","6","N","Northbound","278","Chestnut / Edwards","2020-10-15T19:52:49","42.141192","-72.526669","1715","1925","1715"
"9","10006","00467E","Ludlow via Bay St","true","false","true","Ludlow via Bay St","B6","1397","B6","7","605","Union Station via Berkshire/Bay","0","W","Westbound","214","Berkshire / Champlain (1)","2020-10-15T19:51:40","42.144586","-72.52203","1710","1940","1710"
"10","10006","00467E","Ludlow via Bay St","true","false","true","Ludlow via Bay St","B6","1397","B6","7","603","Ludlow Big Y via Bay/Berkshire","0","E","Eastbound","50","Union Station Bay 4","2020-10-15T19:52:25","42.105836","-72.594917","1810","2000","1810"
"11","10006","00467E","Ludlow via Bay St","true","false","true","Ludlow via Bay St","B6","1397","B6","7","601","Ludlow Big Y via Bay/Berkshire","-5","E","Eastbound","110","Main / Lyons (2)","2020-10-15T19:52:50","42.158394","-72.49393","1853","1930","1853"
"12","10007","00467E","Walmart-Eastfield Mall via State St/Boston Rd","true","false","true","Walmart-Eastfield Mall via State St/Bost","B7","1398","B7","8","707","Eastfield Mall via State/Boston Rd","0","E","Eastbound","50","Union Station Bay 7","2020-10-15T19:45:41","42.106245","-72.594424","1646","2000","1646"
"13","10007","00467E","Walmart-Eastfield Mall via State St/Boston Rd","true","false","true","Walmart-Eastfield Mall via State St/Bost","B7","1398","B7","8","704","Eastfield Mall via State/Boston Rd","0","E","Eastbound","70","Boston / Ambrose (3)","2020-10-15T19:52:22","42.125134","-72.535562","1822","1930","1822"
"14","10007","00467E","Walmart-Eastfield Mall via State St/Boston Rd","true","false","true","Walmart-Eastfield Mall via State St/Bost","B7","1398","B7","8","705","Union Station","91","W","Westbound","244","Springfield Walmart","2020-10-15T19:52:50","42.142682","-72.489865","1851","1810","1851"
