CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
12:00,12:15,12:00,12:10,12:50,12:10,12:15,12:45,12:25,12:25,12:10,12:28
12:30,12:45,12:30,12:40,1:50,1:10,12:30 ,1:45,12:55,12:55,12:40,12:58
1:00,1:15,1:00,1:10,2:50,2:10,1:15,2:45,1:25,1:25,1:10,1:28
1:30,1:45,1:30,1:40,3:50,3:10,1:30 ,3:45,1:55,1:55,1:40,1:58
2:00,2:15,2:00,2:10,4:50,4:10,2:15,4:45,2:25,2:25,2:10,2:28
2:30,2:45,2:30,2:40,5:50,5:10,2:30 ,5:45,2:55,2:55,2:40,2:58
3:00,3:15,3:00,3:10,7:50,5:55,3:15,7:00,3:25,3:25,3:10,3:28
3:30,3:45,3:30,3:40,,7:55,3:30 ,9:00,3:55,3:55,3:40,3:58
4:00,4:15,4:00,4:10,,,4:15,,4:25,4:25,4:10,4:28
4:30,4:45,4:30,4:40,,,4:30 ,,4:55,4:55,4:40,4:58
5:00,5:15,5:00,5:10,,,5:15,,5:25,5:25,5:10,5:28
5:30,5:45,5:30,5:40,,,5:30 ,,5:55,5:58,5:40,5:58
6:00,6:15,5:58,6:40,,,6:00,,6:10,6:25,6:40,6:58
7:00,7:15,6:30,7:40,,,6:55 ,,7:10,6:30,7:45,7:58
8:00,8:15,7:30,8:40,,,8:00,,8:10,7:30,8:45,8:58
,,8:30,,,,8:55 ,,9:10,8:30,,
,,,,,,,,,9:30,,
