CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1
,,,,,,,,,,6:00,6:18
,,,,,,,5:35,5:45,6:10,6:25,6:43
,,,,,,,,,6:25,6:45,7:03
,,6:00,6:10,,,6:30 ,6:35,6:45,7:15,7:35,7:58
,,6:15,6:25,,,,,6:30,6:55,7:15,7:38
,,6:25,6:35,6:50,6:55,7:00,,7:10,7:40,8:00,8:23
,6:25,6:45,6:55,,,7:15 ,7:20,7:30,8:00,8:20,8:43
6:30,6:40,7:00,7:15,,,7:35 ,7:40,7:50,8:20,8:35,
6:45,7:00,7:20,7:35,7:45,7:55,8:00,,8:10,8:40,8:55,9:18
7:05,7:20,7:40,7:55,,,8:15 ,8:20,8:30,9:00,9:15,
7:25,7:40,8:00,8:15,8:25,8:35,8:40,,8:50,9:20,9:35,9:58
7:45,8:00,8:20,8:35,8:45,8:55,9:00,,9:10,9:40,9:55,
8:05,8:20,8:40,8:55,,,9:15 ,9:20,9:30,10:00,10:15,10:38
8:25,8:40,9:00,9:15,9:25,9:35,9:40,,9:50,10:20,10:35,10:58
