CHICOPEE BIG Y,CHICOPEE CENTER,UNION STATION BAY 2,"THE ""X""",RIVERBEND MEDICAL CENTER,ALLEN & COOLEY/ 5 TOWN PLAZA,CANON CIRCLE,ALLEN & COOLEY/ 5 TOWN PLAZA.1,"THE ""X"".1",UNION STATION BAY 6,CHICOPEE CENTER.1,CHICOPEE BIG Y.1,Unnamed: 0
--,--,--,--,--,--,--,--,--,7:00,7:10,7:28,
--,--,7:00,7:10,--,--,7:25,7:40,7:50,8:15,8:25,8:43,
7:45,8:00,8:15,--,--,--,--,--,--,9:00,9:10,9:28,
--,--,8:30,8:40 S,--,--,8:55,9:10,9:20,9:45,9:55,10:13,
8:45,9:00,9:15,9:25 S,--,--,9:40,9:55,10:05,10:30,10:40,10:58,
9:30,9:45,10:00,10:10 S,--,--,10:25,10:40,10:50,11:15,11:25,11:43,
10:15,10:30,10:45,10:55 S,--,--,11:10,11:25,11:35,12:00,12:10,12:28,
11:00,11:15,11:30,11:40 S,--,--,11:55,12:10,12:20,12:45,12:55,1:13,
11:45,12:00,12:15,12:25 S,--,--,12:40,12:55,1:05,1:30,1:40,1:58,
12:30,12:45,1:00,1:10 S,--,--,1:25,1:40,1:50,2:15,2:25,2:43,
1:15,1:30,1:45,1:55 S,--,--,2:10,2:25,2:35,3:00,3:10,3:28,
2:00,2:15,2:30,2:40 S,--,--,2:55,3:10,3:20,3:45,3:55,4:13,
2:45,3:00,3:15,3:25 S,--,--,3:40,3:55,4:05,4:30,4:40,4:58,
3:30,3:45,4:00,4:10 S,--,--,4:25,4:40,4:50,5:15,5:25,5:43,
4:15,4:30,4:45,4:55 S,--,--,5:10,5:25,5:35,6:00,6:10,6:28,
5:00,5:15,5:30,5:40 S,--,--,5:55,6:10,6:20,6:45,6:55,7:13,
5:45,6:00,6:15,6:25 S,--,--,6:40,6:55,7:05,7:30,7:40,7:58,
6:30,6:45,7:00,7:10 S,--,--,7:20,7:25,7:35,8:05,--,--,
7:15,7:30,7:45,7:55,--,--,--,--,7:55,8:20,--,--,
